Shiny Pokemon,Amount,Whose Account
Magikarp,1,Brightest Dawn
Cleffa,1,Brightest Dawn
Eevee,1,Brightest Dawn
Exeggutor,1,Brightest Dawn
Rayquaza,5,Kyue55
Shellder,1,Kyue55
Suicune,1,Kyue55
Nidoqueen,1,Kyue55
Poliwag,1,Kyue55
Geodude(Alolan),1,Kyue55
Golem(Alolan),1,Kyue55
Seel,1,Kyue55
Pinsir,2,Kyue55
Eevee,1,Kyue55
Sneasel,1,Kyue55
Raikou,2,Kyue55
Entei,1,Kyue55
Treecko,1,Kyue55
Sceptile,1,Kyue55
Mudkip,10,Kyue55
Swampert,1,Kyue55
Linoone,1,Kyue55
Lotad,1,Kyue55
Ralts,5,Kyue55
Gardevoir,1,Kyue55
Slaking,1,Kyue55
Hariyama,1,Kyue55
Roselia,1,Kyue55
Wailord,1,Kyue55
Swablu,1,Kyue55
Altaria,1,Kyue55
Banette,1,Kyue55
Kyogre,1,Kyue55
Ambipom,1,Kyue55
Mismagius,1,Kyue55
Gallade,1,Kyue55
Pikachu,1,Watermelon
Poliwag,1,Watermelon
Seadra,1,Watermelon
Eevee,1,Watermelon
Misdreavus,1,Watermelon
Raikou,1,Watermelon
Suicune,1,Watermelon
Mudkip,3,Watermelon
Ralts,6,Watermelon
Kirlia,1,Watermelon
Gardevoir,1,Watermelon
Rayquaza,1,Watermelon
Ekans,1,Blackest Night
Eevee,1,Blackest Night
Smoochum,1,Blackest Night
Suicune,1,Blackest Night
Mudkip,6,Blackest Night
Swampert,1,Blackest Night
Ralts,8,Blackest Night
Kirlia,1,Blackest Night
Gardevoir,2,Blackest Night
Swablu,1,Blackest Night
Latias,1,Blackest Night
Honchkrow,1,Blackest Night
